2026-05-20 16:40:43 | INFO     | app.routers.tenants | Tenant details fetched successfully for tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.auth_service | Current user authentication initiated
2026-05-20 16:41:39 | DEBUG    | app.services.auth_service | Extracting bearer token
2026-05-20 16:41:39 | DEBUG    | app.services.auth_service | Fetching user from authentication token
2026-05-20 16:41:39 | INFO     | app.core.security | User authentication via token initiated
2026-05-20 16:41:39 | DEBUG    | app.core.security | Fetching user_id from access token
2026-05-20 16:41:39 | INFO     | app.core.security | User_id retrieved successfully: 17
2026-05-20 16:41:39 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:41:39 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:41:39 | DEBUG    | app.core.security | Fetching user details for user_id: 17
2026-05-20 16:41:39 | INFO     | app.core.security | User authenticated successfully for user_id: 17
2026-05-20 16:41:39 | DEBUG    | app.core.security | Closing authentication database session
2026-05-20 16:41:39 | DEBUG    | app.core.security | Authentication database session closed
2026-05-20 16:41:39 | INFO     | app.services.auth_service | Current user authenticated successfully: redington-ecommerce-17
2026-05-20 16:41:39 | INFO     | app.routers.tenants | Tenant config API invoked for tenant_id: 19
2026-05-20 16:41:39 | DEBUG    | app.routers.tenants | Authorizing config access for tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Tenant access authorization initiated for user: redington-ecommerce-17, tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Tenant access granted for user: redington-ecommerce-17
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Fetching tenant for tenant_id: 19
2026-05-20 16:41:39 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:41:39 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Executing tenant query for tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Tenant fetched successfully for tenant_id: 19
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Closing tenant database session
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Tenant database session closed
2026-05-20 16:41:39 | DEBUG    | app.routers.tenants | Fetching configuration sections for tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Fetching configuration sections for tenant_id: 19
2026-05-20 16:41:39 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:41:39 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Executing configuration query for tenant_id: 19
2026-05-20 16:41:39 | INFO     | app.services.tenant_service | Configuration sections fetched successfully for tenant_id: 19. Count: 1
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Closing configuration database session
2026-05-20 16:41:39 | DEBUG    | app.services.tenant_service | Configuration database session closed
2026-05-20 16:41:39 | INFO     | app.routers.tenants | Tenant configuration fetched successfully for tenant_id: 19
2026-05-20 16:44:09 | INFO     | app.services.auth_service | Current user authentication initiated
2026-05-20 16:44:09 | DEBUG    | app.services.auth_service | Extracting bearer token
2026-05-20 16:44:09 | DEBUG    | app.services.auth_service | Fetching user from authentication token
2026-05-20 16:44:09 | INFO     | app.core.security | User authentication via token initiated
2026-05-20 16:44:09 | DEBUG    | app.core.security | Fetching user_id from access token
2026-05-20 16:44:09 | INFO     | app.core.security | User_id retrieved successfully: 17
2026-05-20 16:44:09 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:44:09 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:44:09 | DEBUG    | app.core.security | Fetching user details for user_id: 17
2026-05-20 16:44:09 | INFO     | app.core.security | User authenticated successfully for user_id: 17
2026-05-20 16:44:09 | DEBUG    | app.core.security | Closing authentication database session
2026-05-20 16:44:09 | DEBUG    | app.core.security | Authentication database session closed
2026-05-20 16:44:09 | INFO     | app.services.auth_service | Current user authenticated successfully: redington-ecommerce-17
2026-05-20 16:44:09 | INFO     | app.routers.tenants | Logs endpoint invoked for tenant_id: 19
2026-05-20 16:44:09 | INFO     | app.services.tenant_service | Tenant access authorization initiated for user: redington-ecommerce-17, tenant_id: 19
2026-05-20 16:44:09 | INFO     | app.services.tenant_service | Tenant access granted for user: redington-ecommerce-17
2026-05-20 16:44:09 | INFO     | app.services.tenant_service | Fetching tenant for tenant_id: 19
2026-05-20 16:44:09 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:44:09 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:44:09 | DEBUG    | app.services.tenant_service | Executing tenant query for tenant_id: 19
2026-05-20 16:44:09 | INFO     | app.services.tenant_service | Tenant fetched successfully for tenant_id: 19
2026-05-20 16:44:09 | DEBUG    | app.services.tenant_service | Closing tenant database session
2026-05-20 16:44:09 | DEBUG    | app.services.tenant_service | Tenant database session closed
2026-05-20 16:44:09 | INFO     | app.routers.tenants | Logs placeholder returned for tenant_id: 19
2026-05-21 15:08:34 | INFO     | app.core.config | Logger initialized successfully for module: app.core.config
2026-05-21 15:08:34 | INFO     | app.core.config | Initializing application settings
2026-05-21 15:08:34 | INFO     | app.core.config | Application settings loaded successfully
2026-05-21 15:08:34 | INFO     | app.core.config | Global settings object initialized
2026-05-21 15:08:35 | INFO     | app.db.base | Logger initialized successfully for module: app.db.base
2026-05-21 15:08:35 | INFO     | app.db.base | Database engine initialization started
2026-05-21 15:08:35 | DEBUG    | app.db.base | Creating SQLAlchemy engine for database URL: sqlite:///D:/OneDrive - REDINGTON/Work/Code/RAG/s1_rag_engine/sql_lite_db/rag_admin.sqlite3
2026-05-21 15:08:35 | INFO     | app.db.base | Database engine created successfully
2026-05-21 15:08:35 | DEBUG    | app.db.base | Initializing SQLAlchemy declarative base
2026-05-21 15:08:35 | INFO     | app.db.base | SQLAlchemy declarative base initialized successfully
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | Logger initialized successfully for module: app.schemas.schemas
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | Initializing Pydantic schema models
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining LoginRequest schema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | LoginRequest schema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining UserSchema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | UserSchema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining TokenResponse schema
2026-05-21 15:08:35 | INFO     | app.schemas.schemas | TokenResponse schema defined successfully
2026-05-21 15:08:35 | DEBUG    | app.schemas.schemas | Defining MessageResponse schema
